City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
145,yashkul',46.1711,45.3435,28.44,37,2,3.13,RU,1690057733
146,blama,7.8736,-11.3433,22.56,99,46,1.15,SL,1690057733
147,hasaki,35.7333,140.8333,22.95,83,99,2.23,JP,1690057676
148,carnarvon,-24.8667,113.6333,15.2,38,0,7.52,AU,1690057733
149,muscat,23.6139,58.5922,31.01,69,100,6.05,OM,1690057525
150,ust'-kulom,61.6864,53.6902,12.03,93,8,1.88,RU,1690057733
151,pak phanang,8.3511,100.202,25.52,81,100,2.68,TH,1690057734
152,oppdal,62.5943,9.6912,9.96,86,89,1.93,NO,1690057734
153,port alfred,-33.5906,26.891,12.88,94,12,0.45,ZA,1690057473
154,karkira,36.9292,6.5856,26.99,85,52,0.98,DZ,1690057734
155,atafu village,-8.5421,-172.5159,28.36,70,15,3.34,TK,1690057734
156,bel ombre,-4.6167,55.4167,25.91,78,20,3.6,SC,1690057735
157,banda aceh,5.5577,95.3222,27.12,69,99,5.63,ID,1690057521
158,cockburn town,21.4612,-71.1419,28.02,75,88,5.26,TC,1690058041
159,ribeira grande,38.5167,-28.7,23.22,78,75,1.54,PT,1690057735
160,usinsk,65.9939,57.5281,15.57,96,99,2.79,RU,1690057735
161,fale old settlement,-9.3852,-171.2468,28.35,73,9,2.84,TK,1690057736
162,korla,41.7597,86.1469,28.85,27,86,2.14,CN,1690057736
163,vizinga,61.0749,50.1031,11.23,97,8,2.2,RU,1690057736
164,coxim,-18.5067,-54.76,33.65,22,0,4.61,BR,1690057736
165,dickinson,29.4608,-95.0513,38.93,53,75,3.09,US,1690057736
166,vilyuysk,63.7553,121.6247,17.6,90,72,2.45,RU,1690057737
167,caluula,11.9661,50.7569,32.2,55,90,1.92,SO,1690057737
168,urzhar,47.093,81.6294,20.9,36,0,4.32,KZ,1690057737
169,pasuquin,18.3328,120.6177,26.97,94,20,2.57,PH,1690057737
170,avarua,-21.2078,-159.775,22.03,94,100,9.26,CK,1690057452
171,kualakapuas,-3.0091,114.3876,22.25,92,65,1.21,ID,1690057738
172,newman,37.3138,-121.0208,39.47,7,8,0.85,US,1690057738
173,forster,-32.1667,152.5167,11.35,75,97,3.58,AU,1690057464
174,beira,-19.8436,34.8389,22.05,100,40,2.06,MZ,1690057738
175,keflavik,64.0049,-22.5624,12.24,76,100,3.09,IS,1690057738
176,roma,43.2128,-75.4557,27.2,46,40,6.17,US,1690057738
177,'ain benian,36.8028,2.9219,30.03,49,100,6.99,DZ,1690057739
178,east london,-33.0153,27.9116,18.76,75,32,5.5,ZA,1690057739
179,sisimiut,66.9395,-53.6735,6.32,97,100,5.03,GL,1690057478
180,korsakov,46.6328,142.7813,17.91,96,100,2.57,RU,1690057739
181,chernyshevskiy,63.0128,112.4714,16.08,69,8,1.18,RU,1690057739
182,puerto deseado,-47.7503,-65.8938,4.28,57,100,7.67,AR,1690057740
183,labuan,5.2767,115.2417,25.2,94,20,0.51,MY,1690057740
184,sechura,-5.5569,-80.8222,27.22,58,7,5.76,PE,1690057740
185,kryvyi rih,47.9167,33.35,21.55,52,22,2.94,UA,1690057740
186,nemuro,43.3236,145.575,14.8,95,100,4.18,JP,1690057740
187,anadyr,64.75,177.4833,15.28,82,75,2.0,RU,1690057740
